Timestamp,Feed_Water_Tank_Level_(50 to 70%),Feed_Water_Tank_Temperature_(102 to 105 C),Feed_Water_Tank_Pressure_(<0.5 kg/cm2),Boiler1_Level_Guage_(40-50%),Boiler1_Drum_Steam_Pressure,Boiler1_Modulation_%,Boiler1_F.D_FAN_AIR_Temperature_(OUTLET_TEMPERATURE),BOILER1_A.P.H_FLUE_GAS_OUTLET_TEMPERATURE_(<300 C),BOILER1_A.P.H_FLUE_GAS_INLET_TEMPERATURE_(<150 C),BOILER1_A.P.H_FLUE_GAS_O2_%,Chimney_Temperature_C,NG_CV_kcal_per_Nm3,SoftWater_pH,SoftWater_Hardness_ppm,Feed_Water_Temp_C,Feed_Water_Conductivity_uScm,Feed_Water_pH,Feed_Water_DO_ppm,Boiler1Water_TDS_ppm,Boiler1Water_Conductivity_uScm,Boiler1Water_pH,Boiler1_Capacity_TPH
01-09-2025 07:00,60,102,0.3,49,15,57,101,231,163,5.2,162,9450,7.2,0,103.9,54,8.78,0.07,2215,3820,11.72,14
01-09-2025 09:00,60,102,0.2,48,14.2,90,105,241,176,5.2,163,9450,7.2,0,103.9,55,8.78,0.07,2180,3760,11.7,14
01-09-2025 11:00,60,102,0.3,49,15,63,106,234,167,5.2,160,9450,7.2,0,103.9,58,8.78,0.07,2250,3880,11.72,14
01-09-2025 13:00,60,102,0.3,48,15,64,106,235,168,5.2,160,9450,7.2,0,103.9,45,8.78,0.07,2262,3900,11.75,14
01-09-2025 15:00,60,102,0.3,48,15,54,106,230,164,5,159,9450,7.2,0,103.9,40,8.78,0.07,2244,3870,11.72,14
01-09-2025 17:00,60,102,0.3,49,15,61,107,235,169,5,163,9450,7.2,0,103.9,52,8.78,0.07,2273,3920,11.7,14
01-09-2025 19:00,60,102,0.3,49,15,56,106,234,167,5,160,9450,7.2,0,103.9,55,8.78,0.07,2262,3900,11.71,14
01-09-2025 21:00,60,102,0.3,48,15,52,105,232,165,5,157,9450,7.2,0,103.9,51,8.78,0.07,2256,3890,11.71,14
01-09-2025 23:00,59,102,0.2,49,15,60,105,236,169,4.9,157,9450,7.1,0,103.9,71,8.72,0.08,2262,3900,11.71,14
02-09-2025 01:00,60,102,0.2,49,15,55,103,232,166,4.9,156,9450,7.1,0,103.9,66,8.72,0.08,2314,3990,11.68,14
02-09-2025 03:00,60,102,0.2,47,14.9,79,104,242,175,4.9,158,9450,7.1,0,103.9,54,8.72,0.08,2331,4020,11.74,14
02-09-2025 05:00,60,102,0.3,49,15,62,104,237,170,4.9,163,9450,7.1,0,103.9,75,8.72,0.05,2378,4100,11.72,14
02-09-2025 07:00,60,102,0.3,48,14.9,67,102,237,168,4.8,159,9450,7.3,0,103.9,66,8.76,0.06,2156,3789,11.85,14
02-09-2025 09:00,60,102,0.2,48,15,65,105,236,170,4.8,162,9450,7.3,0,103.9,52,8.76,0.06,2250,3885,11.47,14
02-09-2025 11:00,60,102,0.3,49,15,61,107,233,168,4.8,159,9450,7.2,0,103.9,55,8.76,0.06,2351,3854,11.71,14
02-09-2025 13:00,60,102,0.3,48,15,60,107,235,169,4.8,163,9450,7,0,103.9,58,8.76,0.05,2321,3929,11.72,14
02-09-2025 15:00,60,102,0.3,49,15,66,103,237,169,5.2,162,9450,7.2,0,103.9,54,8.72,0.04,2346,3785,11.71,14
02-09-2025 17:00,60,102,0.3,48,15,60,103,235,167,5.2,160,9450,7.2,0,103.9,48,8.72,0.05,2315,3885,11.71,14
02-09-2025 19:00,60,102,0.3,49,15,59,104,235,168,5.2,157,9450,7.2,0,103.9,56,8.72,0.05,2156,3859,11.71,14
02-09-2025 21:00,60,102,0.3,49,15,61,104,234,167,5.2,157,9450,7.1,0,103.9,65,8.72,0.07,2289,3846,11.77,14
02-09-2025 23:00,60,102,0.2,48,14.9,53,103,230,162,5.2,158,9450,7.1,0,103.9,70,8.74,0.07,2275,3952,11.76,14
03-09-2025 01:00,60,102,0.2,49,15,74,103,241,174,5.2,161,9450,7.1,0,103.9,59,8.74,0.07,2256,4025,11.72,14
03-09-2025 03:00,60,102,0.2,49,15,60,104,235,168,5.2,159,9450,7,0,103.9,52,8.74,0.07,2222,3860,11.71,14
03-09-2025 05:00,60,102,0.3,49,15,58,103,233,166,5.2,159,9450,7.2,0,103.9,61,8.74,0.06,2325,3945,11.84,14
03-09-2025 07:00,60,102,0.3,49,15,55,104,231,164,4.8,164,9450,7.2,0,103.9,54,8.78,0.07,2356,3994,11.72,14
03-09-2025 09:00,60,102,0.3,48,15,54,105,232,165,4.8,165,9450,7.2,0,103.9,59,8.78,0.07,2321,3846,11.72,14
03-09-2025 11:00,60,102,0.3,48,15,58,107,233,167,4.8,167,9450,7.2,0,103.9,52,8.78,0.07,2153,3954,11.84,14
03-09-2025 13:00,60,102,0.3,49,15,60,108,232,166,4.8,166,9450,7.2,0,103.9,49,8.78,0.07,2254,3795,11.77,14
03-09-2025 15:00,60,102,0.3,49,15,64,109,236,172,5,172,9450,7.1,0,103.9,59,8.77,0.07,2354,4152,11.47,14
03-09-2025 17:00,60,102,0.3,48,15,62,109,235,171,5,171,9450,7.2,0,103.9,63,8.75,0.07,2287,4120,11.68,14
03-09-2025 19:00,60,102,0.3,49,15,55,108,231,166,5,166,9450,7.2,0,103.9,69,8.76,0.05,2295,3965,11.85,14
03-09-2025 21:00,60,102,0.3,49,15,53,106,230,164,5,164,9450,7.1,0,103.9,75,8.76,0.06,2212,3789,11.72,14
03-09-2025 23:00,60,102,0.3,47,15,66,107,237,165,4.8,165,9450,7.1,0,103.9,52,8.76,0.05,2264,3864,11.71,14
04-09-2025 01:00,60,102,0.3,49,14.9,55,105,229,163,4.8,163,9450,7.1,0,103.9,58,8.74,0.06,2354,4026,11.85,14
04-09-2025 03:00,60,102,0.3,49,15,59,107,234,168,4.8,168,9450,7.1,0,103.9,51,8.74,0.06,2160,3932,11.76,14
04-09-2025 05:00,60,102,0.3,47,15,55,106,233,166,4.8,166,9450,7.3,0,103.9,54,8.73,0.06,2356,3791,11.72,14
04-09-2025 07:00,60,102,0.2,49,14.9,45,101,226,156,5.3,156,9450,7.1,0,103.9,65,8.77,0.05,2325,3760,11.72,14
04-09-2025 09:00,60,102,0.2,48,14.9,42,103,221,151,5.3,152,9450,7.1,0,103.9,70,8.79,0.05,2356,3880,11.7,14
04-09-2025 11:00,60,102,0.2,48,14.9,42,104,222,152,5.3,154,9450,7.1,0,103.9,59,8.76,0.07,2321,3900,11.72,14
04-09-2025 13:00,60,102,0.3,47,15,35,103,219,150,5.3,151,9450,7.1,0,103.9,52,8.76,0.05,2153,3870,11.75,14
04-09-2025 15:00,59,102,0.3,48,14.9,41,104,219,150,4.9,151,9450,7.2,0,103.9,49,8.76,0.06,2254,3920,11.72,14
04-09-2025 17:00,59,102,0.2,49,14.9,37,106,218,150,4.9,152,9450,7.2,0,103.9,44,8.75,0.06,2354,3846,11.7,14
04-09-2025 19:00,60,102,0.3,49,15,39,103,220,150,4.9,150,9450,7.1,0,103.9,40,8.74,0.06,2215,3954,11.71,14
04-09-2025 21:00,59,102,0.2,49,15,47,104,226,158,4.9,153,9450,7.3,0,103.9,42,8.74,0.05,2180,3847,11.75,14
04-09-2025 23:00,60,102,0.2,50,15,52,104,220,162,4.8,157,9450,7.1,0,103.9,55,8.73,0.05,2250,3807,11.79,14
05-09-2025 01:00,60,102,0.3,48,15,51,104,223,161,4.8,156,9450,7.2,0,103.9,52,8.79,0.04,2262,3831,11.74,14
05-09-2025 03:00,60,102,0.3,49,15,48,104,227,159,4.8,154,9450,7,0,103.9,65,8.73,0.07,2219,3820,11.75,14
05-09-2025 05:00,59,102,0.3,49,15,52,104,228,161,4.8,155,9450,7.1,0,103.9,66,8.72,0.06,2281,3854,11.81,14
05-09-2025 07:00,60,102,0.3,48,15,37,99,218,145,4.9,146,9450,7.3,0,103.9,56,8.78,0.07,2215,3820,11.72,14
05-09-2025 09:00,60,102,0.2,49,15,38,99,220,147,4.9,146,9450,7.2,0,103.9,54,8.78,0.07,2180,3760,11.7,14
05-09-2025 11:00,59,102,0.2,49,15,35,99,217,145,4.9,150,9450,7,0,103.9,52,8.78,0.07,2250,3880,11.72,14
05-09-2025 13:00,60,102,0.2,49,15,38,101,217,145,4.9,150,9450,7.2,0,103.9,45,8.72,0.07,2262,3900,11.75,14
05-09-2025 15:00,60,102,0.2,49,15,34,101,216,144,4.6,145,9450,7.2,0,103.9,65,8.72,0.06,2244,3870,11.72,14
05-09-2025 17:00,59,102,0.3,50,15,35,101,217,144,4.6,150,9450,7.2,0,103.9,41,8.72,0.06,2273,3920,11.7,14
05-09-2025 19:00,60,12,0.2,50,15,41,100,219,146,4.6,150,9450,7.1,0,103.9,56,8.72,0.06,2285,3900,11.71,14
05-09-2025 21:00,60,102,0.2,49,15,36,99,218,145,4.6,150,9450,7.1,0,103.9,54,8.76,0.07,2295,3890,11.71,14
05-09-2025 23:00,59,102,0.2,50,14.9,23,97,207,132,4.5,146,9450,7.7,0,103.9,55,8.76,0.08,2331,3900,11.71,14
06-09-2025 01:00,59,102,0.3,48,15,21,96,207,132,4.5,140,9450,7.3,0,103.9,58,8.69,0.08,2378,3990,11.68,14
06-09-2025 03:00,60,102,0.3,49,14.9,24,95,209,132,4.5,138,9450,7.2,0,103.9,45,8.95,0.08,2156,3795,11.75,14
06-09-2025 05:00,60,102,0.3,50,15,20,95,206,131,4.5,142,9450,7.2,0,103.9,40,8.7,0.05,2250,4152,11.85,14
06-09-2025 07:00,60,102,0.2,49,15,20,95,206,130,4.2,142,9450,7.2,0,103.9,52,8.9,0.05,2351,4120,11.75,14
06-09-2025 09:00,60,102,0.2,50,15,25,96,210,134,4.2,139,9450,7.1,0,103.9,55,8.85,0.05,2321,3965,11.72,14
06-09-2025 11:00,59,102,0.3,49,15,25,97,208,133,4.2,143,9450,7.1,0,103.9,51,8.69,0.05,2346,3789,11.71,14
06-09-2025 13:00,60,102,0.3,49,15,20,98,206,131,4.2,143,9450,7.1,0,103.9,71,8.75,0.06,2330,3895,11.65,14
06-09-2025 15:00,60,102,0.2,48,14.9,30,99,212,136,4.2,143,9450,7.3,0,103.9,52,8.78,0.07,2298,3955,11.55,14
06-09-2025 17:00,59,102,0.2,49,15,26,98,209,134,4.2,139,9450,7.4,0,103.9,56,8.84,0.07,2287,3994,11.98,14
06-09-2025 19:00,58,102,0.2,50,15,26,98,208,133,4.2,138,9450,7.4,0,103.9,57,8.81,0.05,2255,3846,11.85,14
06-09-2025 21:00,60,102,0.2,50,15,28,99,209,134,4.2,138,9450,7.4,0,103.9,58,8.94,0.08,2221,3846,11.75,14
06-09-2025 23:00,59,102,0.2,48,15,32,97,214,139,4.6,143,9450,7.4,0,103.9,54,9.1,0.05,2325,3852,11.56,14
07-09-2025 01:00,59,102,0.2,50,15,44,98,225,152,4.6,147,9450,7.2,0,103.9,51,8.9,0.09,2356,3871,11.55,14
07-09-2025 03:00,60,103,0.3,49,15,46,99,220,154,4.6,150,9450,7.2,0,103.9,62,8.6,0.04,2321,3865,11.85,14
07-09-2025 05:00,60,102,0.2,50,15,42,98,223,150,4.6,150,9450,7.2,0,103.9,64,8.6,0.07,2153,3915,11.85,14
07-09-2025 07:00,59,102,0.3,50,15,43,98,223,151,4.8,150,9450,7.1,0,103.9,42,8.78,0.06,2254,3726,11.85,14
07-09-2025 09:00,60,102,0.3,49,15,40,98,224,152,4.8,150,9450,7.1,0,103.9,56,8.98,0.06,2354,3895,11.47,14
07-09-2025 11:00,60,102,0.3,49,15,46,98,224,152,4.8,152,9450,7.1,0,103.9,68,8.75,0.05,2287,3789,11.71,14
07-09-2025 13:00,60,102,0.3,49,15,45,99,224,152,4.8,151,9450,7.1,0,103.9,52,8.76,0.04,2295,3885,11.72,14
07-09-2025 15:00,60,102,0.3,49,15,44,99,225,151,5.5,152,9450,7.3,0,103.9,72,8.78,0.05,2312,3959,11.71,14
07-09-2025 17:00,60,102,0.2,50,15,54,101,230,161,5.5,153,9450,7.2,0,103.9,56,8.76,0.05,2354,3900,11.72,14
07-09-2025 19:00,60,102,0.3,48,15,51,101,229,160,5.5,153,9450,7.1,0,103.9,62,8.74,0.07,2349,3870,11.75,14
07-09-2025 21:00,59,102,0.3,50,15,50,102,229,160,5.5,154,9450,7.2,0,103.9,54,8.73,0.07,2384,3920,11.72,14
07-09-2025 23:00,60,102,0.2,49,14.9,39,101,221,150,5,149,9450,7.2,0,103.9,56,8.79,0.07,2258,3846,11.7,14
08-09-2025 01:00,60,102,0.3,49,15,58,103,234,166,5,153,9450,7.4,0,103.9,55,8.73,0.07,2165,3954,11.71,14
08-09-2025 03:00,60,102,0.2,49,15,47,101,228,159,5,151,9450,7,0,103.9,58,8.72,0.05,2258,3847,11.75,14
08-09-2025 05:00,59,102,0.3,49,15,64,101,238,169,5,153,9450,7.3,0,103.9,51,8.78,0.06,2284,3807,11.79,14
08-09-2025 07:00,60,102,0.2,49,15,49,99,229,159,5.2,156,9450,6.9,0,103.9,54,8.79,0.04,2123,3885,11.76,14
08-09-2025 09:00,60,102,0.2,49,15,54,100,231,161,5.2,157,9450,7,0,103.9,55,8.79,0.06,2125,3876,11.76,14
08-09-2025 11:00,59,102,0.2,50,15,50,100,220,160,5.2,151,9450,7,0,103.9,58,8.79,0.06,2156,3854,11.77,14
08-09-2025 13:00,59,103,0.2,49,15,56,102,232,164,5.2,152,9450,7,0,103.9,45,8.78,0.03,2212,3869,11.75,14
08-09-2025 15:00,60,103,0.2,50,15,54,102,231,163,4.7,157,9450,7.1,0,103.9,40,8.77,0.05,2254,3851,11.76,14
08-09-2025 17:00,60,102,0.2,49,15,58,102,234,165,4.7,152,9450,7.1,0,103.9,52,8.78,0.05,2284,3845,11.54,14
08-09-2025 19:00,60,103,0.2,50,15,60,100,233,163,4.7,151,9450,7.2,0,103.9,55,8.78,0.05,2298,3851,11.85,14
08-09-2025 21:00,60,103,0.2,49,15,54,99,231,161,4.7,155,9450,7.3,0,103.9,51,8.77,0.06,2251,3867,11.85,14
08-09-2025 23:00,60,103,0.2,49,15,52,99,229,159,5.2,152,9450,7.2,0,103.9,71,8.76,0.05,2262,3812,11.54,14
09-09-2025 01:00,59,103,0.2,49,14.9,52,98,230,159,5.2,155,9450,7.2,0,103.9,65,8.74,0.05,2236,3821,11.65,14
09-09-2025 03:00,60,103,0.2,49,15,47,98,228,158,5.2,155,9450,7.1,0,103.9,62,8.78,0.05,2251,3831,11.81,14
09-09-2025 05:00,60,104,0.3,49,14.9,59,98,235,164,5.2,154,9450,7.1,0,103.9,61,8.78,0.05,2315,3881,11.7,14
09-09-2025 07:00,60,102,0.2,49,15,60,98,234,163,4.8,155,9450,7.1,0,103.9,55,8.88,0.07,2295,3861,11.47,14
09-09-2025 09:00,60,102,0.2,50,15,51,99,229,159,4.8,156,9450,7.3,0,103.9,59,8.85,0.07,2265,3920,11.72,14
09-09-2025 11:00,59,102,0.2,48,15.1,42,100,225,155,4.8,155,9450,7.2,0,103.9,57,8.82,0.07,2254,3846,11.72,14
09-09-2025 13:00,59,102,0.2,49,15,64,100,235,163,4.8,153,9450,7,0,103.9,52,8.79,0.07,2159,3954,11.84,14
09-09-2025 15:00,59,103,0.2,48,15,53,102,231,163,5,155,9450,7.1,0,103.9,58,8.75,0.07,2215,3795,11.77,14
09-09-2025 17:00,60,102,0.2,49,15,53,101,232,164,5,155,9450,7.1,0,103.9,42,8.69,0.07,2219,4152,11.47,14
09-09-2025 19:00,60,102,0.3,47,15,54,101,232,163,5,155,9450,7.1,0,103.9,40,8.68,0.07,2156,4120,11.68,14
09-09-2025 21:00,60,102,0.2,49,15,53,100,232,163,5,155,9450,7.3,0,103.9,69,8.68,0.05,2258,3965,11.85,14
09-09-2025 23:00,59,102,0.2,49,15,59,100,233,164,4.9,155,9450,7.3,0,103.9,75,8.71,0.06,2312,3789,11.72,14
10-09-2025 01:00,59,102,0.2,47,15,58,100,234,165,4.9,155,9450,7.2,0,103.9,52,8.72,0.07,2351,3864,11.71,14
10-09-2025 03:00,60,102,0.2,48,15,56,99,233,164,4.9,156,9450,7,0,103.9,58,8.69,0.05,2356,4026,11.85,14
10-09-2025 05:00,60,102,0.2,49,14.9,59,99,234,164,4.9,157,9450,7.2,0,103.9,51,8.95,0.06,2330,3932,11.76,14
10-09-2025 07:00,59,102,0.2,49,15,49,100,229,161,5.2,158,9450,7.2,0,103.9,54,8.76,0.07,2341,3791,11.72,14
10-09-2025 09:00,60,102,0.2,50,15,41,100,225,154,5.2,153,9450,7.2,0,103.9,65,8.54,0.07,2341,3760,11.72,14
10-09-2025 11:00,59,102,0.2,49,15,60,102,234,166,5.2,155,9450,7.1,0,103.9,70,8.85,0.06,2354,3880,11.7,14
10-09-2025 13:00,60,102,0.3,48,15.6,60,102,233,165,5.2,159,9450,7.1,0,103.9,59,8.76,0.06,2291,3900,11.72,14
10-09-2025 15:00,60,102,0.3,49,15,61,103,234,166,4.9,159,9450,7.1,0,103.9,61,8.76,0.05,2324,3870,11.75,14
10-09-2025 17:00,60,102,0.3,49,15,60,103,234,167,4.9,154,9450,7.1,0,103.9,61,8.69,0.05,2384,3920,11.72,14
10-09-2025 19:00,60,102,0.2,49,15,61,102,235,168,4.9,159,9450,7.3,0,103.9,69,8.55,0.07,2180,3846,11.7,14
10-09-2025 21:00,60,102,0.2,50,15,58,101,234,166,4.9,159,9450,7.2,0,103.9,65,8.69,0.07,2250,3954,11.71,14
10-09-2025 23:00,59,102,0.2,49,14.9,54,101,236,167,4.8,159,9450,7,0,103.9,52,8.72,0.07,2262,3847,11.75,14
11-09-2025 01:00,60,102,0.2,49,15,59,101,234,165,4.8,156,9450,7.1,0,103.9,51,8.72,0.07,2244,3807,11.79,14
11-09-2025 03:00,60,102,0.3,48,15,43,99,224,152,4.8,152,9450,7.1,0,103.9,55,8.72,0.07,2273,3831,11.74,14
11-09-2025 05:00,60,102,0.3,49,15,45,99,225,154,4.8,154,9450,7.3,0,103.9,56,8.76,0.07,2262,3820,11.75,14
11-09-2025 07:00,59,102,0.2,50,15,34,98,217,145,4.2,152,9450,7.4,0,103.9,56,8.76,0.07,2256,3725,11.56,14
11-09-2025 09:00,59,102,0.2,50,15,32,97,217,142,4.2,150,9450,7.4,0,103.9,56,8.69,0.08,2262,3845,11.78,14
11-09-2025 11:00,60,102,0.2,49,15,35,97,217,143,4.2,150,9450,7.4,0,103.9,56,8.95,0.08,2314,3856,11.69,14
11-09-2025 13:00,60,102,0.2,49,15,31,96,216,141,4.2,147,9450,7.4,0,103.9,59,8.7,0.08,2331,3951,11.32,14
11-09-2025 15:00,60,102,0.2,49,15,30,97,212,137,5,146,9450,7.2,0,103.9,60,8.9,0.05,2301,3846,11.45,14
11-09-2025 17:00,60,102,0.2,49,15,20,96,207,133,5,146,9450,7.2,0,103.9,61,8.85,0.06,2156,3756,11.59,14
11-09-2025 19:00,59,102,0.2,48,14.9,34,97,216,141,5,144,9450,6.8,0,103.9,62,8.69,0.06,2250,3921,11.57,14
11-09-2025 21:00,59,102,0.2,49,15,31,96,214,139,5,147,9450,6.9,0,103.9,64,8.75,0.06,2351,3846,11.52,14
