Timestamp,Feed_Water_Tank_Level_(50 to 70%),Feed_Water_Tank_Pressure_(<0.5 kg/cm2),Boiler1_Level_Guage_(40-50%),Boiler1_Drum_Steam_Pressure,Boiler2_NG_Consumption_Nm3,Boiler1_F.D_FAN_AIR_Temperature_(OUTLET_TEMPERATURE),BOILER1_A.P.H_FLUE_GAS_OUTLET_TEMPERATURE_(<300 C),BOILER1_A.P.H_FLUE_GAS_INLET_TEMPERATURE_(<150 C),BOILER1_A.P.H_FLUE_GAS_O2_%,Boiler2_Level_Guage_(40-50%),Boiler2_Drum_Steam_Pressure,BOILER2_FLUE_GAS_TEMPERATURE_(<300 C),BOILER1_FLUE_GAS_O2_%,Chimney_Temperature_C,SoftWater_pH,Feed_Water_Temp_C,Feed_Water_Conductivity_uScm,Feed_Water_pH,Feed_Water_DO_ppm,Feed_Water_TotalIron_ppm,Boiler1Water_TDS_ppm,Boiler2Water_TDS_ppm,Boiler1Water_Conductivity_uScm,Boiler2_Steam_Production_tons,Boiler1Water_pH,Boiler2Water_pH,Boiler1_Steam_Production_tons,Boiler1_NG_Consumption_Nm3,NG_CV_kcal_per_Nm3,Boiler1_Efficiency_%,Boiler2_Efficiency_%,Overall_Efficiency_%,Anomaly
2025-01-09 07:00:00,60.0,0.3,49.0,15.0,57.0,101.0,231.0,156.0,5.2,48.0,14.3,202.0,4.6,162.0,7.2,103.9,54.0,8.78,0.07,0.07,2215.0,562.0,3820.0,970.0,11.72,11.07,15.0,15.0,57.0,1052631.5777162204,17913204.057275098,14400584.791812724,Normal
2025-01-09 09:00:00,60.0,0.2,48.0,14.2,90.0,105.0,241.0,176.0,5.2,45.0,14.3,201.0,4.7,163.0,7.2,103.9,55.0,8.78,0.07,0.0,2180.0,577.0,3760.0,995.0,11.7,11.08,14.2,14.2,90.0,666666.6661450182,7370370.369460449,6456813.818889229,Anomaly
2025-01-09 11:00:00,60.0,0.3,49.0,15.0,63.0,106.0,234.0,167.0,5.2,47.0,14.3,203.0,4.6,160.0,7.2,103.9,58.0,8.78,0.07,0.0,2250.0,576.0,3880.0,994.0,11.72,11.07,15.0,15.0,63.0,952380.951373142,15026455.022669071,12319902.317395218,Normal
2025-01-09 13:00:00,60.0,0.3,48.0,15.0,64.0,106.0,235.0,168.0,5.2,48.0,14.3,203.0,4.6,160.0,7.2,103.9,45.0,8.78,0.07,0.1,2262.0,576.0,3900.0,999.0,11.75,11.1,15.0,15.0,64.0,937499.9990234375,14633789.058927296,12033227.845721276,Normal
2025-01-09 15:00:00,60.0,0.3,48.0,15.0,54.0,106.0,230.0,164.0,5.0,44.0,14.3,203.0,4.8,159.0,7.2,103.9,40.0,8.78,0.07,0.0,2244.0,579.0,3870.0,952.0,11.72,11.09,15.0,15.0,54.0,1111111.109739369,19588477.35953756,15571658.610957686,Normal
2025-01-09 17:00:00,60.0,0.3,49.0,15.0,61.0,107.0,235.0,169.0,5.0,48.0,14.3,202.0,4.8,163.0,7.2,103.9,52.0,8.78,0.07,0.0,2273.0,552.0,3920.0,956.0,11.7,11.08,15.0,15.0,61.0,983606.5563020693,15415210.96065165,12566867.986935534,Normal
2025-01-09 19:00:00,60.0,0.3,49.0,15.0,56.0,106.0,234.0,167.0,5.0,47.0,14.3,202.0,4.8,160.0,7.2,103.9,55.0,8.78,0.07,0.0,2262.0,555.0,3900.0,960.0,11.71,11.05,15.0,15.0,56.0,1071428.5701530613,18367346.932918575,14713279.67436789,Normal
2025-01-09 21:00:00,60.0,0.3,4.0,15.0,52.0,105.0,232.0,165.0,5.0,48.0,14.3,202.0,4.8,157.0,7.2,103.9,51.0,8.78,0.07,0.0,2256.0,556.0,3890.0,959.0,11.71,11.1,15.0,15.0,52.0,1153846.1523668638,21279585.7909469,16773823.18691911,Normal
2025-01-09 23:00:00,59.0,0.2,49.0,15.0,60.0,105.0,236.0,169.0,4.9,49.0,14.3,205.0,4.9,157.0,7.1,103.9,71.0,8.72,0.08,0.1,2262.0,560.0,3900.0,966.0,11.71,11.08,15.0,15.0,60.0,999999.9988888889,16099999.995527778,13079999.997093333,Normal
2025-02-09 01:00:00,60.0,0.2,49.0,15.0,55.0,103.0,232.0,166.0,4.9,46.0,14.3,204.0,4.8,156.0,7.1,103.9,66.0,8.72,0.08,0.0,2314.0,578.0,3990.0,998.0,11.68,11.06,15.0,15.0,55.0,1090909.089586777,19795041.315770235,15787012.982912464,Normal
2025-02-09 03:00:00,60.0,0.2,47.0,14.9,79.0,104.0,242.0,175.0,4.9,48.0,14.3,200.0,4.8,158.0,7.1,103.9,54.0,8.72,0.08,0.0,2331.0,586.0,4020.0,1012.0,11.74,11.09,14.9,14.9,79.0,759493.6702408514,9729210.060931068,8305900.431605682,Anomaly
2025-02-09 05:00:00,60.0,0.3,49.0,15.0,62.0,104.0,237.0,170.0,4.9,48.0,14.3,202.0,5.0,163.0,7.1,103.9,75.0,8.72,0.05,0.0,2378.0,602.0,4100.0,1038.0,11.72,11.08,15.0,15.0,62.0,967741.9344432882,16201873.044692542,13234185.166896902,Normal
2025-02-09 07:00:00,60.0,0.3,49.0,15.0,54.0,101.0,231.0,156.0,5.2,48.0,14.3,202.0,4.6,165.0,7.1,103.9,89.0,8.72,0.07,0.0,2215.0,609.0,3820.0,970.0,11.76,11.07,15.0,15.0,54.0,1111111.109739369,19958847.729780916,15861513.683343664,Normal
2025-02-09 09:00:00,60.0,0.2,48.0,14.2,61.0,105.0,241.0,176.0,5.2,45.0,14.3,201.0,4.7,156.0,7.1,103.9,88.0,8.72,0.07,0.1,2180.0,562.0,3760.0,995.0,11.72,11.08,14.2,14.2,61.0,983606.5562415072,16044074.169297481,13200209.275113314,Normal
2025-02-09 11:00:00,60.0,0.3,49.0,15.0,56.0,106.0,234.0,167.0,5.2,47.0,14.3,203.0,4.6,152.0,7.1,103.9,52.0,8.72,0.07,0.0,2250.0,577.0,3880.0,994.0,11.7,11.07,15.0,15.0,56.0,1071428.5701530613,19017857.136792775,15226358.145063793,Normal
2025-02-09 13:00:00,60.0,0.3,48.0,15.0,52.0,106.0,235.0,168.0,5.2,48.0,14.3,203.0,4.6,154.0,7.1,103.9,77.0,8.72,0.07,0.0,2262.0,576.0,3900.0,999.0,11.72,11.1,15.0,15.0,52.0,1153846.1523668638,22167159.755115695,17462686.562151928,Normal
2025-02-09 15:00:00,60.0,0.3,48.0,15.0,60.0,106.0,230.0,164.0,5.0,44.0,14.3,203.0,4.8,160.0,7.05,104.5,57.0,9.31,0.07,0.0,2244.0,576.0,3870.0,952.0,11.75,11.09,15.0,15.0,60.0,999999.9988888889,15866666.66225926,12893333.330468146,Normal
2025-02-09 17:00:00,60.0,0.3,49.0,15.0,55.0,107.0,235.0,152.0,5.0,48.0,14.3,202.0,4.8,152.0,7.05,104.5,54.0,9.31,0.07,0.0,2273.0,579.0,3920.0,956.0,11.72,11.08,15.0,15.0,55.0,1090909.089586777,18961983.464805957,15132467.52853702,Normal
2025-02-09 19:00:00,60.0,0.3,49.0,15.0,54.0,106.0,234.0,158.0,5.0,47.0,14.3,202.0,4.8,151.0,7.9,102.6,55.0,9.38,0.07,0.1,2262.0,552.0,3900.0,960.0,11.7,11.05,15.0,15.0,54.0,1111111.109739369,19753086.41297905,15700483.087573677,Normal
2025-02-09 21:00:00,60.0,0.3,4.0,15.0,61.0,105.0,232.0,162.0,5.0,48.0,14.3,202.0,4.8,162.0,7.9,102.6,58.0,9.38,0.07,0.0,2256.0,555.0,3890.0,959.0,11.71,11.1,15.0,15.0,61.0,983606.5563020693,15463585.053624408,12605694.561560461,Normal
2025-02-09 23:00:00,59.0,0.2,49.0,15.0,56.0,105.0,236.0,161.0,4.9,49.0,14.3,205.0,4.9,163.0,7.9,102.6,45.0,9.38,0.08,0.0,2262.0,556.0,3900.0,966.0,11.71,11.08,15.0,15.0,56.0,1071428.5701530613,18482142.85124932,14803822.933902461,Normal
2025-03-09 01:00:00,60.0,0.2,49.0,15.0,52.0,103.0,232.0,159.0,4.9,46.0,14.3,204.0,4.8,160.0,7.9,102.6,40.0,9.38,0.08,0.0,2314.0,560.0,3990.0,998.0,11.71,11.06,15.0,15.0,52.0,1153846.1523668638,22144970.406011477,17445464.977771107,Normal
2025-03-09 03:00:00,60.0,0.2,47.0,14.9,60.0,104.0,242.0,161.0,4.9,48.0,14.3,200.0,4.8,160.0,7.9,102.6,52.0,9.38,0.08,0.0,2331.0,578.0,4020.0,1012.0,11.68,11.09,14.9,14.9,60.0,999999.9988814318,16866666.661981482,13710280.37078098,Normal
2025-03-09 05:00:00,60.0,0.3,49.0,15.0,55.0,104.0,237.0,170.0,4.9,48.0,14.3,202.0,5.0,159.0,7.9,102.6,52.0,9.38,0.01,0.1,2378.0,586.0,4100.0,1038.0,11.74,11.08,15.0,15.0,55.0,1090909.089586777,20588429.745260023,16410389.606127173,Normal
2025-03-09 07:00:00,60.0,0.3,49.0,15.0,54.0,101.0,231.0,156.0,5.2,48.0,14.3,202.0,5.0,163.0,7.61,102.7,51.0,8.58,0.01,0.0,2215.0,602.0,3820.0,970.0,11.72,11.07,15.0,15.0,54.0,1111111.109739369,19958847.729780916,15861513.683343664,Normal
2025-03-09 09:00:00,60.0,0.2,48.0,14.2,61.0,105.0,241.0,176.0,5.2,45.0,14.3,201.0,4.6,160.0,7.61,102.7,71.0,8.58,0.01,0.0,2180.0,609.0,3760.0,995.0,11.76,11.08,14.2,14.2,61.0,983606.5562415072,16044074.169297481,13200209.275113314,Normal
2025-03-09 11:00:00,60.0,0.3,49.0,15.0,56.0,106.0,234.0,167.0,5.2,47.0,14.3,203.0,4.7,157.0,7.61,104.7,66.0,8.58,0.01,0.0,2250.0,562.0,3880.0,994.0,11.72,11.07,15.0,15.0,56.0,1071428.5701530613,19017857.136792775,15226358.145063793,Normal
2025-03-09 13:00:00,60.0,0.3,48.0,15.0,52.0,106.0,235.0,168.0,5.2,48.0,14.3,203.0,4.6,157.0,7.61,103.9,54.0,8.58,0.01,0.0,2262.0,577.0,3900.0,999.0,11.7,11.1,15.0,15.0,52.0,1153846.1523668638,22167159.755115695,17462686.562151928,Normal
2025-03-09 15:00:00,60.0,0.3,48.0,15.0,60.0,106.0,230.0,164.0,5.0,44.0,14.3,203.0,4.6,156.0,7.27,103.9,75.0,8.58,0.07,0.1,2244.0,576.0,3870.0,952.0,11.72,11.09,15.0,15.0,60.0,999999.9988888889,15866666.66225926,12893333.330468146,Normal
2025-03-09 17:00:00,60.0,0.3,49.0,15.0,55.0,107.0,235.0,152.0,5.0,48.0,14.3,202.0,4.8,158.0,7.27,103.9,89.0,8.58,0.07,0.0,2273.0,576.0,3920.0,956.0,11.75,11.08,15.0,15.0,55.0,1090909.089586777,18961983.464805957,15132467.52853702,Normal
2025-03-09 19:00:00,60.0,0.3,49.0,15.0,75.0,106.0,234.0,158.0,5.0,47.0,14.3,202.0,4.8,163.0,7.27,103.9,88.0,8.58,0.07,0.0,2262.0,579.0,3900.0,960.0,11.72,11.05,15.0,15.0,75.0,799999.9992888889,10239999.998179555,8666666.665382715,Normal
2025-03-09 21:00:00,60.0,0.3,4.0,15.0,55.0,105.0,232.0,162.0,5.0,48.0,14.3,202.0,4.8,165.0,7.27,103.9,52.0,8.58,0.07,0.0,2256.0,552.0,3890.0,959.0,11.7,11.1,15.0,15.0,55.0,1090909.089586777,19021487.59701769,15179220.775278125,Normal
2025-03-09 23:00:00,59.0,0.2,49.0,15.0,54.0,105.0,236.0,170.0,4.9,49.0,14.3,205.0,4.8,156.0,7.27,103.9,77.0,8.66,0.07,0.0,2262.0,555.0,3900.0,966.0,11.71,11.08,15.0,15.0,54.0,1111111.109739369,19876543.203060172,15797101.445035668,Normal
2025-04-09 01:00:00,60.0,0.2,49.0,15.0,61.0,103.0,232.0,156.0,4.9,46.0,14.3,204.0,4.9,152.0,7.27,103.9,57.0,8.66,0.07,0.1,2314.0,556.0,3990.0,998.0,11.71,11.06,15.0,15.0,61.0,983606.5563020693,16092448.262270238,13110440.031684546,Normal
2025-04-09 03:00:00,60.0,0.2,47.0,14.9,56.0,104.0,242.0,176.0,4.9,48.0,14.3,200.0,4.8,154.0,7.27,103.9,54.0,8.66,0.07,0.0,2331.0,560.0,4020.0,1012.0,11.71,11.09,14.9,14.9,56.0,1071428.5701445008,19362244.891785,15518335.680153552,Normal
2025-04-09 05:00:00,60.0,0.3,49.0,15.0,52.0,104.0,237.0,167.0,4.9,48.0,14.3,202.0,4.8,160.0,7.9,103.9,55.0,8.66,0.07,0.0,2378.0,578.0,4100.0,1038.0,11.68,11.08,15.0,15.0,52.0,1153846.1523668638,23032544.37018027,18134328.353003927,Normal
2025-04-09 07:00:00,60.0,0.3,49.0,15.0,60.0,101.0,231.0,168.0,5.2,48.0,14.3,202.0,5.0,152.0,7.9,103.9,58.0,8.72,0.03,0.0,2215.0,586.0,3820.0,970.0,11.74,11.07,15.0,15.0,60.0,999999.9988888889,16166666.662175927,13133333.330414813,Normal
2025-04-09 09:00:00,60.0,0.2,48.0,14.2,86.0,105.0,241.0,164.0,5.2,45.0,14.3,201.0,4.6,151.0,7.32,103.9,45.0,8.72,0.01,0.0,2180.0,602.0,3760.0,995.0,11.72,11.08,14.2,14.2,86.0,697674.4180333487,8071930.772299631,7026876.478783492,Anomaly
2025-04-09 11:00:00,60.0,0.3,49.0,15.0,54.0,106.0,234.0,152.0,5.2,47.0,14.3,203.0,4.7,162.0,7.32,103.9,40.0,8.72,0.01,0.1,2250.0,609.0,3880.0,994.0,11.76,11.07,15.0,15.0,54.0,1111111.109739369,20452674.890105393,16247987.11319163,Normal
2025-04-09 13:00:00,60.0,0.3,48.0,15.0,75.0,106.0,235.0,158.0,5.2,48.0,14.3,203.0,4.6,163.0,7.32,103.9,52.0,9.31,0.01,0.0,2262.0,562.0,3900.0,999.0,11.72,11.1,15.0,15.0,75.0,799999.9992888889,10655999.9981056,9013333.331998024,Normal
2025-04-09 15:00:00,60.0,0.3,48.0,15.0,55.0,106.0,230.0,162.0,5.0,44.0,14.3,203.0,4.6,160.0,7.32,103.9,55.0,9.31,0.01,0.0,2244.0,577.0,3870.0,952.0,11.7,11.09,15.0,15.0,55.0,1090909.089586777,18882644.621856976,15070129.866215551,Normal
2025-04-09 17:00:00,60.0,0.3,49.0,15.0,54.0,107.0,235.0,156.0,5.0,48.0,14.3,202.0,4.8,160.0,7.32,103.9,51.0,9.38,0.01,0.0,2273.0,576.0,3920.0,956.0,11.72,11.08,15.0,15.0,54.0,1111111.109739369,19670781.886258304,15636070.849265682,Normal
2025-04-09 19:00:00,60.0,0.3,49.0,15.0,61.0,106.0,234.0,176.0,5.0,47.0,14.3,202.0,4.8,159.0,7.32,103.9,71.0,9.38,0.07,0.0,2262.0,576.0,3900.0,960.0,11.75,11.05,15.0,15.0,61.0,983606.5563020693,15479709.751281992,12618636.753102105,Normal
2025-04-09 21:00:00,60.0,0.3,4.0,15.0,56.0,105.0,232.0,167.0,5.0,48.0,14.3,202.0,4.8,163.0,7.53,104.5,66.0,9.38,0.07,0.1,2256.0,579.0,3890.0,959.0,11.72,11.1,15.0,15.0,56.0,1071428.5701530613,18348214.279863454,14698189.131112127,Normal
2025-04-09 23:00:00,59.0,0.2,49.0,15.0,52.0,105.0,236.0,168.0,4.9,49.0,14.3,205.0,4.8,160.0,7.53,104.5,54.0,9.38,0.07,0.0,2262.0,552.0,3900.0,966.0,11.7,11.08,15.0,15.0,52.0,1153846.1523668638,21434911.23467644,16894374.277584855,Normal
2025-05-09 01:00:00,60.0,0.2,49.0,15.0,60.0,103.0,232.0,164.0,4.9,46.0,14.3,204.0,4.9,157.0,7.53,102.6,75.0,9.38,0.07,0.0,2314.0,555.0,3990.0,998.0,11.71,11.06,15.0,15.0,60.0,999999.9988888889,16633333.328712964,13506666.663665185,Normal
2025-05-09 03:00:00,60.0,0.2,47.0,14.9,55.0,104.0,242.0,169.0,4.9,48.0,14.3,200.0,4.8,157.0,7.53,102.6,89.0,9.38,0.07,0.0,2331.0,556.0,4020.0,1012.0,11.71,11.09,14.9,14.9,55.0,1090909.0895779023,20072727.26609166,16026531.40433697,Normal
2025-05-09 05:00:00,60.0,0.3,49.0,15.0,54.0,104.0,237.0,167.0,4.9,48.0,14.3,202.0,4.8,156.0,7.53,102.6,88.0,8.58,0.07,0.0,2378.0,560.0,4100.0,1038.0,11.71,11.08,15.0,15.0,54.0,1111111.109739369,21358024.684033602,16956521.73457957,Normal
